symbol,entry_date,entry_price,stop_price,target_price,shares
TITAN.NS,2026-08-09,4941.0,4766.98,5202.03,5
AJANTPHARM.NS,2026-08-21,3614.6,3416.47,3911.79,5
JUBLFOOD.NS,2026-08-21,491.55,460.97,537.42,32
PPLPHARMA.NS,2026-08-21,206.64,190.81,230.39,63
PPLPHARMA.NS,2026-08-21,206.64,190.81,230.39,63
CHENNPETRO.NS,2026-08-21,1404.0,1264.56,1613.17,7
APARINDS.NS,2026-08-21,17214.0,15649.35,19560.97,0
PAYTM.NS,2026-08-21,1583.5,1479.38,1739.68,9
CHENNPETRO.NS,2026-08-21,1440.3,1298.49,1653.02,7
CASTROLIND.NS,2026-08-21,188.75,183.99,195.89,210
COHANCE.NS,2026-08-21,463.0,424.54,520.69,26
FEDERALBNK.NS,2026-08-25,346.95,332.04,369.31,67
ZFCVINDIA.NS,2026-08-25,2603.0,2462.2,2814.21,7
IIFL.NS,2026-08-26,666.25,621.25,733.75,22
FEDERALBNK.NS,2026-08-26,345.3,331.05,366.68,70
NETWEB.NS,2026-08-26,5271.9,4768.76,6026.61,1
ANTHEM.NS,2026-08-31,893.05,840.32,972.14,18
CANHLIFE.NS,2026-08-31,156.14,145.28,172.43,92
TBOTEK.NS,2026-08-31,1745.1,1627.93,1920.86,8
UNITDSPR.NS,2026-08-31,1490.0,1431.52,1577.71,17
