datetime,symbol,entry_price,stop_price,target_price,shares,position_value
2026-08-07 (backfilled),AIIL.NS,596.6,550.86,665.22,21,12528.6
2026-08-07 (backfilled),TITAN.NS,4941.0,4766.98,5202.03,5,24705.0
2026-08-10 (reconciled),LENSKART.NS,586.15,556.06,631.29,33,19342.95
2026-08-10 (reconciled),LLOYDSME.NS,2052.8,1928.5,2239.25,8,16422.4
2026-08-10 (reconciled),GLAND.NS,2667.3,2514.9,2895.9,6,16003.8
2026-08-13 (reconciled),AJANTPHARM.NS,3614.6,3416.47,3911.79,5,18073.0
2026-08-13 (reconciled),JUBLFOOD.NS,491.55,460.97,537.42,32,15729.6
2026-08-13 (reconciled),URBANCO.NS,141.34,130.51,157.58,92,13003.28
2026-08-14 (reconciled),ABBOTINDIA.NS,27060.0,25995.41,28656.88,0,0.0
2026-08-14 (reconciled),PPLPHARMA.NS,206.64,190.81,230.39,63,13018.32
2026-08-15 (reconciled),PPLPHARMA.NS,206.64,190.81,230.39,63,13018.32
2026-08-18 (reconciled),CHENNPETRO.NS,1404.0,1264.56,1613.17,7,9828.0
2026-08-18 (reconciled),APARINDS.NS,17214.0,15649.35,19560.97,0,0.0
2026-08-18 (reconciled),PTCIL.NS,19791.0,18585.28,21599.59,0,0.0
2026-08-19 (reconciled),PAYTM.NS,1583.5,1479.38,1739.68,9,14251.5
2026-08-19 (reconciled),CHENNPETRO.NS,1440.3,1298.49,1653.02,7,10082.1
2026-08-19 (reconciled),CASTROLIND.NS,188.75,183.99,195.89,210,39637.5
2026-08-21 (reconciled),BALRAMCHIN.NS,718.8,652.89,817.66,15,10782.0
2026-08-21 (reconciled),COHANCE.NS,463.0,424.54,520.69,26,12038.0
2026-08-21 (reconciled),ANTHEM.NS,871.45,825.04,941.07,21,18300.45
2026-08-21 (reconciled),PTCIL.NS,20629.0,19365.3,22524.54,0,0.0
2026-08-25 (reconciled),IIFL.NS,666.25,621.25,733.75,22,14657.5
2026-08-25 (reconciled),FEDERALBNK.NS,346.95,332.04,369.31,67,23245.65
2026-08-25 (reconciled),ZFCVINDIA.NS,2603.0,2462.2,2814.21,7,18221.0
2026-08-26 (reconciled),FEDERALBNK.NS,345.3,331.05,366.68,70,24171.0
2026-08-26 (reconciled),NETWEB.NS,5271.9,4768.76,6026.61,1,5271.9
2026-08-08 (reconciled),AIIL.NS,596.6,550.86,665.22,21,12528.6
2026-08-08 (reconciled),TITAN.NS,4941.0,4766.98,5202.03,5,24705.0
2026-08-09 (reconciled),AIIL.NS,596.6,550.86,665.22,21,12528.6
2026-08-09 (reconciled),TITAN.NS,4941.0,4766.98,5202.03,5,24705.0
2026-08-31 (reconciled),CRAFTSMAN.NS,11198.5,10520.76,12215.11,1,11198.5
2026-08-31 (reconciled),ANTHEM.NS,893.05,840.32,972.14,18,16074.9
2026-08-31 (reconciled),CANHLIFE.NS,156.14,145.28,172.43,92,14364.88
2026-08-31 (reconciled),TBOTEK.NS,1745.1,1627.93,1920.86,8,13960.8
2026-08-31 (reconciled),KOTAKBANK.NS,419.4,404.45,441.83,66,27680.4
2026-08-31 (reconciled),LAURUSLABS.NS,1915.0,1825.33,2049.5,11,21065.0
2026-08-31 (reconciled),UNITDSPR.NS,1490.0,1431.52,1577.71,17,25330.0
2026-09-01 (reconciled),TVSMOTOR.NS,4203.0,3988.32,4525.02,4,16812.0
2026-09-01 (reconciled),RADICO.NS,4474.3,4276.31,4771.28,5,22371.5
2026-09-01 (reconciled),POLICYBZR.NS,1829.2,1729.06,1979.41,9,16462.8
2026-09-02 (reconciled),BAJAJ-AUTO.NS,12130.0,11660.73,12833.9,2,24260.0
2026-09-02 (reconciled),SONACOMS.NS,782.65,739.07,848.01,22,17218.3
2026-09-02 (reconciled),RRKABEL.NS,2630.4,2408.59,2963.12,4,10521.6
2026-09-02 (reconciled),NIACL.NS,199.11,184.6,220.88,68,13539.48
2026-09-03 (reconciled),CLEAN.NS,852.95,804.37,925.82,20,17059.0
2026-09-03 (reconciled),RRKABEL.NS,2617.7,2398.6,2946.34,4,10470.8
2026-09-03 (reconciled),JYOTICNC.NS,1026.85,945.56,1148.78,12,12322.2
